"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"49","035","3006","42602","1","40.736389","-111.872222","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2002","Parts per billion","No Events","8596","98",".",".","361","365","0","Certified - QA issues identified","164","0","","27.006282","15.804086",".","1","","","88","2002-02-07 21:00","87","2002-02-07 22:00","86","2002-02-06 14:00","86","2002-02-06 15:00","27","39","47","53","60","68","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42602","1","40.736389","-111.872222","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2002","Parts per billion","No Events","8596","98","0",".","361","365","0","Certified - QA issues identified","164","0","","46.041551","10.886329",".","19","","","88","2002-02-07 21:00","86","2002-02-06 14:00","84","2002-02-05 14:00","78","2002-02-11 10:00","46","51","59","65","74","78","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88154","5","40.736389","-111.872222","WGS84","Selenium PM2.5 LC","24 HOUR","","2002","Micrograms/cubic meter (LC)","No Events","115","94",".",".","115","122","0","Certification not required","7","0","","0.000717","0.000966",".","0","","","0.0043","2002-02-13 00:00","0.0036","2002-11-13 00:00","0.0035","2002-05-29 00:00","0.0034","2002-01-11 00:00","0","0.001","0.002","0.0027","0.0035","0.0036","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42603","1","40.736389","-111.872222","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2002","Parts per billion","No Events","8595","98",".",".","361","365","0","Certification not required","165","0","","59.69075","65.67931",".","0","","","417","2002-11-22 08:00","407","2002-01-11 08:00","402","2002-11-22 21:00","394","2002-10-16 07:00","34","79","150","202","267","303","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88117","5","40.736389","-111.872222","WGS84","Cerium PM2.5 LC","24 HOUR","","2002","Micrograms/cubic meter (LC)","No Events","115","94",".",".","115","122","0","Certification not required","7","0","","0.012651","0.023541",".","0","","","0.106","2002-03-03 00:00","0.094","2002-10-29 00:00","0.085","2002-05-26 00:00","0.078","2002-09-17 00:00","0.001","0.013","0.051","0.072","0.085","0.094","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88118","5","40.736389","-111.872222","WGS84","Cesium PM2.5 LC","24 HOUR","","2002","Micrograms/cubic meter (LC)","No Events","115","94",".",".","115","122","0","Certification not required","7","0","","0.005657","0.009346",".","0","","","0.051","2002-05-05 00:00","0.044","2002-02-16 00:00","0.032","2002-07-28 00:00","0.031","2002-04-20 00:00","0.002","0.007","0.017","0.029","0.032","0.044","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88121","5","40.736389","-111.872222","WGS84","Europium PM2.5 LC","24 HOUR","","2002","Micrograms/cubic meter (LC)","No Events","115","100",".",".","59","61","0","Certification not required","7","0","","0.001512","0.004461",".","0","","","0.0298","2002-12-04 00:00","0.0187","2002-03-06 00:00","0.0185","2002-12-13 00:00","0.0161","2002-10-11 00:00","0","0","0.0042","0.0102","0.0185","0.0187","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88109","5","40.736389","-111.872222","WGS84","Bromine PM2.5 LC","24 HOUR","","2002","Micrograms/cubic meter (LC)","No Events","115","94",".",".","115","122","0","Certification not required","7","0","","0.004394","0.004013",".","0","","","0.022","2002-02-07 00:00","0.0192","2002-12-25 00:00","0.018","2002-02-04 00:00","0.015","2002-01-11 00:00","0.003","0.0054","0.0103","0.0126","0.018","0.0192","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88111","5","40.736389","-111.872222","WGS84","Calcium PM2.5 LC","24 HOUR","","2002","Micrograms/cubic meter (LC)","No Events","115","94",".",".","115","122","0","Certification not required","7","0","","0.098111","0.087363",".","0","","","0.595","2002-05-20 00:00","0.446","2002-06-01 00:00","0.439","2002-03-06 00:00","0.415","2002-09-05 00:00","0.0836","0.114","0.173","0.251","0.439","0.446","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88114","5","40.736389","-111.872222","WGS84","Copper PM2.5 LC","24 HOUR","","2002","Micrograms/cubic meter (LC)","No Events","115","94",".",".","115","122","0","Certification not required","7","0","","0.005334","0.00566",".","0","","","0.0344","2002-02-01 00:00","0.0295","2002-07-04 00:00","0.0221","2002-01-11 00:00","0.0149","2002-12-04 00:00","0.003","0.008","0.0125","0.0146","0.0221","0.0295","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
