"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"49","035","3006","68109","1","40.736389","-111.872222","WGS84","Elapsed Sample Time","24 HOUR","","2014","Minutes","No Events","360","100",".",".","61","61","0","Certification not required","5","0","","1438.619444","4.474896",".","1381","","","1440","2014-01-02 00:00","1440","2014-01-03 00:00","1440","2014-01-08 00:00","1440","2014-01-09 00:00","1439","1439","1440","1440","1440","1440","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","68102","1","40.736389","-111.872222","WGS84","Sample Volume","24 HOUR","","2014","Cubic meter","No Events","360","100",".",".","61","61","0","Certification not required","5","0","","23.946111","0.275936",".","21.9","","","24.1","2014-06-06 00:00","24.1","2014-07-08 00:00","24.1","2014-07-24 00:00","24.1","2014-08-01 00:00","24","24","24","24","24.1","24.1","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","68101","1","40.736389","-111.872222","WGS84","Sample Flow Rate- CV","24 HOUR","","2014","Percent","No Events","360","100",".",".","61","61","0","Certification not required","5","0","","0.395833","0.144767",".","0","","","0.6","2014-03-11 00:00","0.6","2014-04-07 00:00","0.6","2014-04-18 00:00","0.6","2014-04-24 00:00","0.4","0.5","0.5","0.6","0.6","0.6","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42101","1","40.736389","-111.872222","WGS84","Carbon monoxide","1 HOUR","CO 1-hour 1971","2014","Parts per million","No Events","8400","96","0","0","363","365","0","Certified","360","0","","0.352577","0.306205",".","0.07","","","3.14","2014-01-17 08:00","2.92","2014-01-21 08:00","2.71","2014-01-03 08:00","2.62","2014-01-16 08:00","0.24","0.4","0.71","0.98","1.38","1.59","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42101","1","40.736389","-111.872222","WGS84","Carbon monoxide","8-HR RUN AVG END HOUR","CO 8-hour 1971","2014","Parts per million","No Events","8624","98","0","0","364","365","0","Certified","0","0","","0.357699","0.252523",".","0.1","","","1.9","2014-01-03 11:00","1.8","2014-01-03 08:00","1.8","2014-01-03 09:00","1.8","2014-01-03 10:00","0.3","0.4","0.7","0.9","1.2","1.3","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","68107","5","40.736389","-111.872222","WGS84","Sample Max Baro Pressure","24 HOUR","","2014","Millimeters (mercury)","No Events","111","91",".",".","110","122","0","Certification not required","11","0","","654.324324","3.840365",".","646","","","663","2014-01-14 00:00","663","2014-11-16 00:00","662","2014-01-20 00:00","662","2014-01-23 00:00","654","656","660","662","662","663","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88403","5","40.736389","-111.872222","WGS84","Sulfate PM2.5 LC","24 HOUR","","2014","Micrograms/cubic meter (LC)","No Events","110","90",".",".","109","122","0","Certification not required","12","0","","0.613418","0.401725",".","0.09","","","2.7","2014-01-23 00:00","1.92","2014-01-20 00:00","1.72","2014-03-24 00:00","1.71","2014-01-08 00:00","0.543","0.73","1.09","1.45","1.72","1.92","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88306","5","40.736389","-111.872222","WGS84","Total Nitrate PM2.5 LC","24 HOUR","","2014","Micrograms/cubic meter (LC)","No Events","110","90",".",".","109","122","0","Certification not required","12","0","","1.759227","4.164808",".","0.074","","","26.2","2014-01-20 00:00","19.7","2014-01-26 00:00","18.8","2014-01-23 00:00","16.7","2014-01-17 00:00","0.427","1.12","3.6","6.91","18.8","19.7","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42603","1","40.736389","-111.872222","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2014","Parts per billion","No Events","8004","91",".",".","334","365","0","Certification not required","756","0","","24.542854","31.606319",".","0","","","266","2014-01-22 08:00","256","2014-01-22 07:00","245","2014-01-27 08:00","240","2014-12-02 08:00","12","30","64","91","129","155","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","85129","1","40.736389","-111.872222","WGS84","Lead PM10 LC FRM/FEM","24 HOUR","Lead 3-Month PM10 Surrogate 2009","2014","Micrograms/cubic meter (LC)","No Events","61","100","0","0","57","61","0","Uncertified (past due)","0","0","","0.003082","0.006278",".","0","","","0.037","2014-01-22 00:00","0.028","2014-01-17 00:00","0.015","2014-12-01 00:00","0.011","2014-06-04 00:00","0.001","0.003","0.007","0.011","0.028","0.037","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
