"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"49","035","3006","42603","1","40.736389","-111.872222","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2009","Parts per billion","No Events","8578","98",".",".","362","365","0","Certification not required","182","0","","35.999067","45.425069",".","0","","","340","2009-01-21 08:00","338","2009-03-02 09:00","328","2009-01-20 08:00","312","2009-01-07 08:00","17","47","98","136","177","210","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88110","5","40.736389","-111.872222","WGS84","Cadmium PM2.5 LC","24 HOUR","","2009","Micrograms/cubic meter (LC)","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","0.001521","0.003832",".","0","","","0.021","2009-01-31 00:00","0.015","2009-06-30 00:00","0.014","2009-05-19 00:00","0.013","2009-08-17 00:00","0","0","0.007","0.011","0.014","0.015","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88357","5","40.736389","-111.872222","WGS84","EC CSN_Rev Unadjusted PM2.5 LC TOT","24 HOUR","","2009","Micrograms/cubic meter (LC)","No Events","117","96",".",".","117","122","0","Certification not required","5","0","","0.579068","0.415517",".","0.042","","","1.87","2009-11-27 00:00","1.83","2009-01-01 00:00","1.83","2009-01-07 00:00","1.59","2009-01-20 00:00","0.456","0.816","1.12","1.51","1.83","1.83","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88370","5","40.736389","-111.872222","WGS84","OC CSN_Rev Unadjusted PM2.5 LC TOR","24 HOUR","","2009","Micrograms/cubic meter (LC)","No Events","117","96",".",".","117","122","0","Certification not required","5","0","","2.003051","1.253642",".","0.518","","","7.33","2009-01-20 00:00","6.03","2009-12-18 00:00","5.97","2009-12-27 00:00","5.91","2009-01-01 00:00","1.61","2.46","3.44","5.03","5.97","6.03","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88388","5","40.736389","-111.872222","WGS84","OP CSN_Rev Unadjusted PM2.5 LC TOT","24 HOUR","","2009","Micrograms/cubic meter (LC)","No Events","117","96",".",".","117","122","0","Certification not required","5","0","","0.433282","0.358614",".","0.107","","","2.8","2009-01-20 00:00","1.77","2009-12-27 00:00","1.57","2009-12-18 00:00","1.51","2009-12-21 00:00","0.344","0.472","0.71","1.06","1.57","1.77","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88502","5","40.736389","-111.872222","WGS84","Acceptable PM2.5 AQI & Speciation Mass","24 HOUR","","2009","Micrograms/cubic meter (LC)","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","10.17438","10.810354",".","1.5","","","68.2","2009-01-22 00:00","67.9","2009-01-20 00:00","42.1","2009-12-21 00:00","39.5","2009-12-18 00:00","6.9","11.2","19.7","32.5","42.1","67.9","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88502","3","40.736389","-111.872222","WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2009","Micrograms/cubic meter (LC)","No Events","8645","99",".",".","362","365","0","Certification not required","83","0","","12.314841","12.995632",".","-10","","","189.1","2009-12-10 23:00","156.2","2009-09-30 01:00","154.5","2009-09-30 02:00","143.9","2009-09-29 17:00","9.3","16.1","26.6","36.4","50.4","62.2","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88502","3","40.736389","-111.872222","WGS84","Acceptable PM2.5 AQI & Speciation Mass","24-HR BLK AVG","","2009","Micrograms/cubic meter (LC)","No Events","362","99",".",".","362","365","0","Certification not required","0","0","","12.265193","9.816717",".","1.4","","","68.5","2009-01-22 00:00","60","2009-01-19 00:00","55.8","2009-01-20 00:00","55","2009-01-21 00:00","9","14.9","23.6","34.1","44","55","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","68103","5","40.736389","-111.872222","WGS84","Ambient Min Temperature","24 HOUR","","2009","Degrees Centigrade","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","4.796694","8.830911",".","-14.3","","","22.8","2009-07-24 00:00","22.7","2009-07-18 00:00","19.6","2009-07-06 00:00","19.4","2009-07-27 00:00","4.2","12.5","17.4","18.3","19.6","22.7","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88169","5","40.736389","-111.872222","WGS84","Sulfur PM2.5 LC","24 HOUR","","2009","Micrograms/cubic meter (LC)","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","0.276341","0.272799",".","0.0314","","","2.75","2009-12-21 00:00","1.13","2009-01-22 00:00","0.87","2009-01-20 00:00","0.796","2009-12-27 00:00","0.226","0.31","0.378","0.589","0.87","1.13","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
