"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"49","035","3006","86101","1","40.736389","-111.872222","WGS84","PM10-2.5 - Local Conditions","24 HOUR","","2021","Micrograms/cubic meter (LC)","Events Inclucded","343","100",".",".","61","61","87","Certification not required","22","0","","11.949271","9.13349",".","1.1","","","71.6","2021-04-05 00:00","59.5","2021-02-06 00:00","55.9","2021-03-06 00:00","55.8","2021-05-07 00:00","10.2","14.7","20.9","26.5","45.8","55.8","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42101","1","40.736389","-111.872222","WGS84","Carbon monoxide","1 HOUR","CO 1-hour 1971","2021","Parts per million","No Events","8139","93","0","0","349","365","0","Certified","621","0","","0.185981","0.192713",".","0","","","1.6","2021-01-21 08:00","1.6","2021-02-02 08:00","1.6","2021-12-22 08:00","1.5","2021-01-20 08:00","0.1","0.2","0.4","0.6","0.8","1","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42101","1","40.736389","-111.872222","WGS84","Carbon monoxide","8-HR RUN AVG END HOUR","CO 8-hour 1971","2021","Parts per million","No Events","8265","94","0","0","349","365","0","Certified","0","0","","0.191022","0.162899",".","0","","","1.1","2021-12-21 01:00","1.1","2021-12-21 02:00","1.1","2021-12-22 09:00","1.1","2021-12-22 10:00","0.1","0.3","0.4","0.5","0.7","0.8","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42601","2","40.736389","-111.872222","WGS84","Nitric oxide (NO)","1 HOUR","","2021","Parts per billion","Events Inclucded","7120","81",".",".","309","365","2037","Certification not required","1640","0","","6.030913","15.197438",".","-2.2","","","205","2021-12-22 08:00","173.2","2021-12-22 07:00","164.6","2021-12-22 09:00","164.2","2021-12-22 06:00","0.8","3.7","16.6","34.7","59.4","76.7","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88109","5","40.736389","-111.872222","WGS84","Bromine PM2.5 LC","24 HOUR","","2021","Micrograms/cubic meter (LC)","No Events","117","96",".",".","117","122","0","Certification not required","6","0","","0.001496","0.0025",".","0","","","0.013","2021-08-26 00:00","0.012","2021-12-21 00:00","0.008","2021-09-07 00:00","0.007","2021-07-09 00:00","0","0.003","0.005","0.006","0.008","0.012","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","43503","6","40.736389","-111.872222","WGS84","Acetaldehyde","24 HOUR","","2021","Parts per billion Carbon","Events Inclucded","87","71",".",".","86","122","46","Certification not required","3","0","","0.806897","0.85709",".","0","","","4.7","2021-09-07 00:00","3.5","2021-03-23 00:00","3.1","2021-11-18 00:00","3","2021-10-01 00:00","0.5","0.9","2","2.8","3.5","4.7","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","68112","5","40.736389","-111.872222","WGS84","Sample Flow Rate CV - Nylon Filter","24 HOUR","","2021","Percent","Events Inclucded","117","96",".",".","117","122","29","Certification not required","6","0","","0.784615","0.105549",".","0.2","","","1","2021-10-07 00:00","0.9","2021-01-31 00:00","0.9","2021-03-08 00:00","0.9","2021-03-11 00:00","0.8","0.9","0.9","0.9","0.9","0.9","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88355","5","40.736389","-111.872222","WGS84","OC CSN_Rev Unadjusted PM2.5 LC TOT","24 HOUR","","2021","Micrograms/cubic meter (LC)","No Events","116","95",".",".","116","122","0","Certification not required","7","0","","2.297543","2.207949",".","0.594","","","17.148","2021-08-08 00:00","10.239","2021-08-29 00:00","9.44","2021-07-12 00:00","9.231","2021-09-07 00:00","1.694","2.372","3.712","7.518","9.44","10.239","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","68113","5","40.736389","-111.872222","WGS84","Sample Flow Rate CV - Quartz Filter","24 HOUR","","2021","Percent","Events Inclucded","116","95",".",".","116","122","30","Certification not required","7","0","","0.1","0",".","0.1","","","0.1","2021-01-02 00:00","0.1","2021-01-04 00:00","0.1","2021-01-07 00:00","0.1","2021-01-10 00:00","0.1","0.1","0.1","0.1","0.1","0.1","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88377","5","40.736389","-111.872222","WGS84","OC4 CSN_Rev Unadjusted PM2.5 LC","24 HOUR","","2021","Micrograms/cubic meter (LC)","No Events","116","95",".",".","116","122","0","Certification not required","7","0","","0.35594","0.180392",".","0.079","","","1.306","2021-09-07 00:00","1.247","2021-08-08 00:00","0.964","2021-08-26 00:00","0.622","2021-02-06 00:00","0.332","0.417","0.538","0.6","0.964","1.247","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88169","5","40.736389","-111.872222","WGS84","Sulfur PM2.5 LC","24 HOUR","","2021","Micrograms/cubic meter (LC)","No Events","117","96",".",".","117","122","0","Certification not required","6","0","","0.149436","0.098604",".","0.019","","","0.709","2021-07-24 00:00","0.519","2021-12-21 00:00","0.508","2021-01-01 00:00","0.308","2021-03-17 00:00","0.129","0.192","0.259","0.288","0.508","0.519","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
