"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"49","035","3006","88113","5","40.736389","-111.872222","WGS84","Cobalt PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","106","121","0","Certification not required","13","0","","0.000461","0.000686",".","0","","","0.0027","2011-08-13 00:00","0.0023","2011-01-07 00:00","0.0023","2011-09-30 00:00","0.002","2011-01-05 00:00","0","0.001","0.0016","0.002","0.0023","0.0023","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","68105","1","40.736389","-111.872222","WGS84","Average Ambient Temperature","24 HOUR","","2011","Degrees Centigrade","No Events","345","100",".",".","61","61","0","Certification not required","15","0","","12.646957","9.960124",".","-8.3","","","31.2","2011-07-03 00:00","29.9","2011-08-25 00:00","29.7","2011-08-26 00:00","29.6","2011-06-28 00:00","10.7","21.6","26.7","28.2","29.4","29.6","2","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","68107","5","40.736389","-111.872222","WGS84","Sample Max Baro Pressure","24 HOUR","","2011","Millimeters (mercury)","No Events","109","90",".",".","106","121","0","Certification not required","13","0","","654.110092","4.546752",".","643","","","665","2011-11-26 00:00","664","2011-12-23 00:00","663","2011-12-17 00:00","662","2011-01-05 00:00","654","657","661","662","663","664","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42601","1","40.736389","-111.872222","WGS84","Nitric oxide (NO)","1 HOUR","","2011","Parts per billion","No Events","8297","95",".",".","353","365","0","Certification not required","439","0","","15.156322","30.533153",".","0","","","284","2011-11-03 14:00","254","2011-12-28 19:00","249","2011-12-28 18:00","242","2011-01-06 08:00","3","12","48","81","126","151","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88180","5","40.736389","-111.872222","WGS84","Potassium PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","106","121","0","Certification not required","13","0","","0.059254","0.099039",".","0.0069","","","0.655","2011-08-16 00:00","0.607","2011-07-02 00:00","0.548","2011-01-01 00:00","0.217","2011-07-05 00:00","0.0359","0.0569","0.0893","0.164","0.548","0.607","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88184","5","40.736389","-111.872222","WGS84","Sodium PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","106","121","0","Certification not required","13","0","","0.019128","0.030524",".","0","","","0.16","2011-12-29 00:00","0.138","2011-11-17 00:00","0.118","2011-01-05 00:00","0.102","2011-12-26 00:00","0.005","0.025","0.061","0.079","0.118","0.138","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88111","5","40.736389","-111.872222","WGS84","Calcium PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","106","121","0","Certification not required","13","0","","0.071033","0.064872",".","0.003","","","0.387","2011-06-29 00:00","0.357","2011-05-15 00:00","0.333","2011-03-19 00:00","0.198","2011-04-15 00:00","0.0523","0.0958","0.136","0.164","0.333","0.357","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88117","5","40.736389","-111.872222","WGS84","Cerium PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","106","121","0","Certification not required","13","0","","0.000119","0.000466",".","0","","","0.003","2011-05-24 00:00","0.002","2011-06-08 00:00","0.002","2011-10-15 00:00","0.002","2011-11-17 00:00","0","0","0","0.001","0.002","0.002","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88355","5","40.736389","-111.872222","WGS84","OC CSN_Rev Unadjusted PM2.5 LC TOT","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","107","121","0","Certification not required","13","0","","2.031569","1.494834",".","0.032","","","7.78","2011-12-26 00:00","7.24","2011-08-16 00:00","6.93","2011-01-07 00:00","6.69","2011-12-11 00:00","1.6","2.22","4.27","5.32","6.93","7.24","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88375","5","40.736389","-111.872222","WGS84","OC2 CSN_Rev Unadjusted PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","107","121","0","Certification not required","13","0","","0.462394","0.290749",".","0.006","","","1.69","2011-08-16 00:00","1.4","2011-12-26 00:00","1.31","2011-11-29 00:00","1.28","2011-12-11 00:00","0.38","0.545","0.853","1.14","1.31","1.4","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","61101","1","40.736389","-111.872222","WGS84","Wind Speed - Scalar","1 HOUR","","2011","Knots","No Events","8753","100",".",".","365","365","0","Certification not required","7","0","","3.716269","2.324876",".","0.5","","","19.3","2011-02-16 13:00","18.2","2011-02-16 16:00","18","2011-02-16 12:00","17.5","2011-02-16 15:00","3","4.5","6.8","8.5","10.9","12.2","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88104","5","40.736389","-111.872222","WGS84","Aluminum PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","106","121","0","Certification not required","13","0","","0.045","0.050448",".","0","","","0.331","2011-03-19 00:00","0.259","2011-04-15 00:00","0.21","2011-06-29 00:00","0.197","2011-05-15 00:00","0.032","0.057","0.094","0.118","0.21","0.259","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88385","5","40.736389","-111.872222","WGS84","EC3 CSN_Rev Unadjusted PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","107","121","0","Certification not required","13","0","","0.000373","0.001949",".","0","","","0.0165","2011-11-29 00:00","0.00955","2011-10-24 00:00","0.00645","2011-12-20 00:00","0.00402","2011-06-14 00:00","0","0","0","0.00118","0.00645","0.00955","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88185","5","40.736389","-111.872222","WGS84","Zirconium PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","106","121","0","Certification not required","13","0","","0.000543","0.001428",".","0","","","0.008","2011-10-27 00:00","0.0058","2011-05-30 00:00","0.0052","2011-10-15 00:00","0.005","2011-07-29 00:00","0","0","0.002","0.004","0.0052","0.0058","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88112","5","40.736389","-111.872222","WGS84","Chromium PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","106","121","0","Certification not required","13","0","","0.001772","0.005097",".","0","","","0.0507","2011-06-23 00:00","0.012","2011-01-05 00:00","0.01","2011-01-09 00:00","0.0063","2011-11-29 00:00","0.001","0.002","0.0031","0.0052","0.01","0.012","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88103","5","40.736389","-111.872222","WGS84","Arsenic PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","106","121","0","Certification not required","13","0","","0.000584","0.00138",".","0","","","0.0106","2011-01-07 00:00","0.0052","2011-01-05 00:00","0.00443","2011-12-26 00:00","0.00408","2011-11-29 00:00","0","0.001","0.0019","0.0028","0.00443","0.0052","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88128","5","40.736389","-111.872222","WGS84","Lead PM2.5 LC","24 HOUR","","2011","Micrograms/cubic meter (LC)","No Events","109","90",".",".","106","121","0","Certification not required","13","0","","0.003271","0.00952",".","0","","","0.0876","2011-01-07 00:00","0.0286","2011-01-15 00:00","0.0237","2011-01-05 00:00","0.021","2011-12-11 00:00","0","0.002","0.009","0.0126","0.0237","0.0286","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
