"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"49","035","3006","88104","5","40.736389","-111.872222","WGS84","Aluminum PM2.5 LC","24 HOUR","","2010","Micrograms/cubic meter (LC)","No Events","112","92",".",".","111","122","0","Certification not required","9","0","","0.067223","0.159859",".","0","","","1.64","2010-03-30 00:00","0.306","2010-04-11 00:00","0.297","2010-07-22 00:00","0.266","2010-06-19 00:00","0.039","0.074","0.109","0.192","0.297","0.306","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88303","5","40.736389","-111.872222","WGS84","Potassium Ion PM2.5 LC","24 HOUR","","2010","Micrograms/cubic meter (LC)","No Events","114","93",".",".","113","122","0","Certification not required","7","0","","0.039746","0.123345",".","0","","","1.18","2010-07-04 00:00","0.518","2010-07-25 00:00","0.17","2010-03-30 00:00","0.143","2010-01-18 00:00","0","0.037","0.095","0.121","0.17","0.518","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88302","5","40.736389","-111.872222","WGS84","Sodium Ion Pm2.5 LC","24 HOUR","","2010","Micrograms/cubic meter (LC)","No Events","114","93",".",".","113","122","0","Certification not required","7","0","","0.064132","0.095919",".","0","","","0.87","2010-03-30 00:00","0.49","2010-07-28 00:00","0.23","2010-07-19 00:00","0.22","2010-11-25 00:00","0.04","0.07","0.11","0.16","0.23","0.49","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42401","2","40.736389","-111.872222","WGS84","Sulfur dioxide","5 MINUTE","","2010","Parts per billion","No Events","7927","8",".",".","27","365","0","Certification not required","27209","0","","1.150221","0.492832",".","0.3","","","7.8","2010-12-20 12:50","7.1","2010-12-16 12:25","6.9","2010-12-17 15:50","6.2","2010-12-10 16:55","1","1.4","1.8","2.1","2.5","2.7","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88502","3","40.736389","-111.872222","WGS84","Acceptable PM2.5 AQI & Speciation Mass","24-HR BLK AVG","","2010","Micrograms/cubic meter (LC)","No Events","222","61",".",".","222","365","0","Certification not required","0","0","","11.372523","12.096644",".","-1.2","","","65.1","2010-01-11 00:00","61.7","2010-01-10 00:00","59.2","2010-01-13 00:00","58.4","2010-01-12 00:00","7.2","13.3","29.2","37.8","50.4","59.2","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88502","1","40.736389","-111.872222","WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2010","Micrograms/cubic meter (LC)","No Events","2051","46",".",".","84","184","0","Certification not required","856","0","","6.800244","16.77584",".","-10","","","655.6","2010-11-08 11:00","166.5","2010-07-24 21:00","164.6","2010-11-08 10:00","49.6","2010-07-24 22:00","5","9.5","15.1","20","27.2","32.5","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88502","1","40.736389","-111.872222","WGS84","Acceptable PM2.5 AQI & Speciation Mass","24-HR BLK AVG","","2010","Micrograms/cubic meter (LC)","No Events","84","46",".",".","84","184","0","Certification not required","0","0","","6.903571","5.772336",".","-0.5","","","34.9","2010-11-08 00:00","27.2","2010-11-27 00:00","22","2010-07-21 00:00","19.9","2010-07-22 00:00","5.8","8.3","12.2","18.7","27.2","34.9","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88101","1","40.736389","-111.872222","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2010","Micrograms/cubic meter (LC)","Events Inclucded","305","84","15","15","305","365","2","Uncertified (past due)","59","0","","10.120656","11.82899","9.92482025294525","1.2","","","76.7","2010-01-12 00:00","73.4","2010-01-11 00:00","70.9","2010-01-13 00:00","62.7","2010-01-10 00:00","6","9.4","23.8","33.2","49.9","62.7","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88126","5","40.736389","-111.872222","WGS84","Iron PM2.5 LC","24 HOUR","","2010","Micrograms/cubic meter (LC)","No Events","112","92",".",".","111","122","0","Certification not required","9","0","","0.104721","0.113362",".","0.0243","","","1.1","2010-03-30 00:00","0.316","2010-07-22 00:00","0.307","2010-12-02 00:00","0.276","2010-01-12 00:00","0.0822","0.117","0.186","0.24","0.307","0.316","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88165","5","40.736389","-111.872222","WGS84","Silicon PM2.5 LC","24 HOUR","","2010","Micrograms/cubic meter (LC)","No Events","112","92",".",".","111","122","0","Certification not required","9","0","","0.196767","0.564174",".","0.007","","","5.86","2010-03-30 00:00","1","2010-04-11 00:00","0.952","2010-07-22 00:00","0.707","2010-06-19 00:00","0.0995","0.169","0.302","0.495","0.952","1","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
