"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"49","035","3006","88203","5","40.736389","-111.872222","WGS84","Chloride PM2.5 LC","24 HOUR","","2019","Micrograms/cubic meter (LC)","No Events","156","100",".",".","116","121","0","Certification not required","4","0","","0.203194","0.383106",".","0.00722","","","3.85419","2019-12-05 00:00","1.34328","2019-11-20 00:00","1.27834","2019-01-11 00:00","1.15203","2019-01-05 00:00","0.07954","0.20696","0.48627","0.83814","1.15203","1.34328","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","68114","5","40.736389","-111.872222","WGS84","Sample Volume - Teflon Filter","24 HOUR","","2019","Cubic meter","No Events","156","100",".",".","116","121","0","Certification not required","4","0","","9.699359","0.008006",".","9.6","","","9.7","2019-01-01 00:00","9.7","2019-01-02 00:00","9.7","2019-01-03 00:00","9.7","2019-01-04 00:00","9.7","9.7","9.7","9.7","9.7","9.7","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88377","5","40.736389","-111.872222","WGS84","OC4 CSN_Rev Unadjusted PM2.5 LC","24 HOUR","","2019","Micrograms/cubic meter (LC)","No Events","151","100",".",".","114","121","0","Certification not required","9","0","","0.148305","0.060315",".","0.044","","","0.423","2019-09-09 00:00","0.318","2019-01-10 00:00","0.296","2019-10-15 00:00","0.294","2019-08-28 00:00","0.134","0.182","0.224","0.269","0.294","0.318","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","43551","8","40.736389","-111.872222","WGS84","Acetone","8 HOUR","","2019","Parts per billion Carbon","No Events","102","48",".",".","34","71","0","Certification not required","0","0","","7.52451","4.575991",".","1.9","","","24.2","2019-08-28 04:00","17.9","2019-08-13 04:00","17.8","2019-08-22 04:00","17.5","2019-08-16 04:00","5.6","10.9","14.1","17","17.8","17.9","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","88383","5","40.736389","-111.872222","WGS84","EC1 CSN_Rev Unadjusted PM2.5 LC","24 HOUR","","2019","Micrograms/cubic meter (LC)","No Events","151","100",".",".","114","121","0","Certification not required","9","0","","0.658655","0.517478",".","0.07143","","","2.6536","2019-01-05 00:00","2.65172","2019-09-09 00:00","2.49812","2019-01-10 00:00","2.34574","2019-01-04 00:00","0.50168","0.83841","1.30885","1.78351","2.34574","2.65172","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42401","1","40.736389","-111.872222","WGS84","Sulfur dioxide","1 HOUR","SO2 1-hour 2010","2019","Parts per billion","No Events","8657","99","0",".","365","365","0","Certified","103","0","","1.341644","1.036381",".","0.2","","","15","2019-08-31 15:00","8.2","2019-06-19 09:00","5.7","2019-12-03 14:00","4.2","2019-07-05 09:00","1.2","1.6","2.2","2.4","2.7","4.2","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","42401","1","40.736389","-111.872222","WGS84","Sulfur dioxide","3-HR BLK AVG","SO2 3-hour 1971","2019","Parts per billion","No Events","2833","97",".","0","364","365","0","Certified","0","0","","0.867596","0.559101",".","0","","","8.5","2019-08-31 17:00","3.8","2019-06-19 11:00","3.3","2019-12-03 14:00","3.1","2019-07-05 11:00","0.7","1.3","1.6","1.9","2.1","2.3","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","43528","6","40.736389","-111.872222","WGS84","Crotonaldehyde","24 HOUR","","2019","Parts per billion Carbon","No Events","29","88",".",".","28","33","0","Certification not required","4","0","","0.034483","0.066953",".","0","","","0.2","2019-11-05 00:00","0.2","2019-11-11 00:00","0.2","2019-12-05 00:00","0.1","2019-10-18 00:00","0","0","0.2","0.2","0.2","0.2","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","43503","6","40.736389","-111.872222","WGS84","Acetaldehyde","24 HOUR","","2019","Parts per billion Carbon","No Events","32","97",".",".","31","33","0","Certification not required","1","0","","0.578125","0.646447",".","0.1","","","2.6","2019-12-05 00:00","2.2","2019-11-05 00:00","2.2","2019-11-11 00:00","1.6","2019-10-18 00:00","0.3","0.6","1.6","2.2","2.6","2.6","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
"49","035","3006","43504","6","40.736389","-111.872222","WGS84","Propionaldehyde","24 HOUR","","2019","Parts per billion Carbon","No Events","22","67",".",".","21","33","0","Certification not required","11","0","","0.209091","0.204495",".","0","","","0.7","2019-12-05 00:00","0.6","2019-11-05 00:00","0.6","2019-11-11 00:00","0.5","2019-10-18 00:00","0.1","0.2","0.6","0.6","0.7","0.7","1","","Utah","Salt Lake","Salt Lake City","Hawthorne","1675 SOUTH 600 EAST, SALT LAKE CITY","Salt Lake City, UT","AQS Data Mart"
